,precision,recall,f1-score,support
barbell biceps curl,1.0,0.9130434782608695,0.9545454545454545,23.0
hammer curl,0.6666666666666666,1.0,0.8,8.0
lat pulldown,0.9473684210526315,1.0,0.972972972972973,18.0
lateral raise,1.0,0.8666666666666667,0.9285714285714286,15.0
pull Up,1.0,1.0,1.0,10.0
push-up,1.0,1.0,1.0,23.0
shoulder press,1.0,0.8571428571428571,0.923076923076923,7.0
accuracy,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9519230769230769
macro avg,0.9448621553884712,0.9481218574386275,0.9398809684523971,104.0
weighted avg,0.9652496626180836,0.9519230769230769,0.9544054697900853,104.0
