,precision,recall,f1-score,support
barbell biceps curl,0.7931034482758621,0.9583333333333334,0.8679245283018867,24.0
hammer curl,0.6666666666666666,0.25,0.36363636363636365,8.0
lat pulldown,1.0,0.8888888888888888,0.9411764705882353,18.0
lateral raise,1.0,1.0,1.0,15.0
pull Up,0.8333333333333334,1.0,0.9090909090909091,10.0
push-up,1.0,1.0,1.0,23.0
shoulder press,1.0,1.0,1.0,6.0
accuracy,0.9134615384615384,0.9134615384615384,0.9134615384615384,0.9134615384615384
macro avg,0.8990147783251231,0.871031746031746,0.8688326102310564,104.0
weighted avg,0.9105879752431476,0.9134615384615384,0.9016477418253223,104.0
