,precision,recall,f1-score,support
barbell biceps curl,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
hammer curl,0.75,0.8571428571428571,0.7999999999999999,7.0
lat pulldown,1.0,0.9473684210526315,0.972972972972973,19.0
lateral raise,1.0,0.8571428571428571,0.923076923076923,14.0
pull Up,0.9166666666666666,1.0,0.9565217391304348,11.0
push-up,1.0,1.0,1.0,22.0
shoulder press,0.875,1.0,0.9333333333333333,7.0
accuracy,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9519230769230769
macro avg,0.9285714285714286,0.9457124955245256,0.9348911859781426,104.0
weighted avg,0.9563301282051282,0.9519230769230769,0.9525445757051109,104.0
